protein_id,clade,length,pfam_id,taxa_id
A0A044QNI6,E,330,PF01391,6282
A0A044S5D8,E,1585,PF00270,6282
A0A044TJ01,E,608,mobidb-lite,6282
A0A044U3D7,E,175,PF03134,6282
A0A044U723,E,436,mobidb-lite,6282
A0A044ULB2,E,2760,PF00014,6282
A0A044V9R4,E,858,mobidb-lite,6282
A0A058Z7B5,E,1487,mobidb-lite,691883
A0A058ZFD5,E,579,PF01798,691883
A0A058ZFY3,E,1379,mobidb-lite,691883
A0A058ZFZ6,E,807,PF00271,691883
A0A058ZTS1,E,621,PF01657,71139
A0A059A9P8,E,232,PF00293,71139
A0A059A9Z2,E,681,PF04564,71139
A0A059AJA1,E,336,PF07714,71139
A0A059AJW6,E,930,LowComplexity,71139
A0A059AW37,E,409,PF00581,71139
A0A059AXL7,E,1000,PF00225,71139
A0A059B3F5,E,296,mobidb-lite,71139
A0A059B3W1,E,519,PF00083,71139
A0A059B406,E,81,PF04099,71139
A0A059B8R8,E,380,PF00107,71139
A0A059B9A7,E,656,mobidb-lite,71139
A0A059BGM3,E,620,PF13041,71139
A0A059BVJ5,E,1493,mobidb-lite,71139
A0A059C3T6,E,366,PF07145,71139
A0A059C7S0,E,296,PF00249,71139
A0A059CA28,E,1323,mobidb-lite,71139
A0A059CFW7,E,716,LowComplexity,71139
A0A059CM85,E,925,PF08030,71139
A0A059CR90,E,732,CoiledCoil,71139
A0A059CVM0,E,347,PF00400,71139
A0A059DCS9,E,286,PF01156,71139
A0A059LEX5,E,424,PF00400,1291522
A0A059LM88,E,99,mobidb-lite,1291522
A0A059LS38,E,506,PF00483,1291522
A0A059RNF8,E,227,PF00116,9606
A0A059SGF3,E,179,PF00016,273567
A0A059TEQ8,E,1220,PF00638,263448
A0A059UBB6,E,1123,PF00989,3381
A0A060A4R4,E,173,PF05198,1503164
A0A060CI57,E,66,PF00071,4786
A0A060D890,E,181,PF06200,4577
A0A060MZU1,E,476,mobidb-lite,7091
A0A060RMK0,E,519,PF15445,5854
A0A060SAT1,E,452,PF01168,5643
A0A060SUK3,E,200,LowComplexity,5643
A0A060SVF5,E,264,PF00435,1491612
A0A060SW87,E,1062,PF01535,409370
A0A060T1K0,E,535,PF07690,409370
A0A060T2R1,E,630,PF14863,409370
A0A060T2Y8,E,618,mobidb-lite,409370
A0A060T350,E,208,PF01588,409370
A0A060T8F8,E,291,PF00153,409370
A0A060TBU6,E,346,CoiledCoil,409370
A0A060TD51,E,298,PF00400,409370
A0A060VMI6,E,43,PF06522,8022
A0A060VMM3,E,245,PF08159,8022
A0A060VNR9,E,585,mobidb-lite,8022
A0A060VQV4,E,1609,mobidb-lite,8022
A0A060VUX7,E,678,PF00069,8022
A0A060VZA3,E,264,PF10590,8022
A0A060WCP3,E,1374,PF00307,8022
A0A060WCT3,E,373,PF04193,8022
A0A060WDG2,E,970,PF05236,8022
A0A060WEZ2,E,669,PF00788,8022
A0A060WHF0,E,820,PF00051,8022
A0A060WHN7,E,433,PF01007,8022
A0A060WHT4,E,141,LowComplexity,8022
A0A060WLT2,E,501,PF00520,8022
A0A060WP35,E,912,PF06297,8022
A0A060WP50,E,153,PF02996,8022
A0A060WTG6,E,186,mobidb-lite,8022
A0A060WUI4,E,526,PF16198,8022
A0A060WWN2,E,449,PF00090,8022
A0A060WY66,E,426,mobidb-lite,8022
A0A060WYQ2,E,97,PF04419,8022
A0A060X1X3,E,79,PF00071,8022
A0A060X4A4,E,394,PF00595,8022
A0A060X4J1,E,907,PF00530,8022
A0A060X9B2,E,272,PF00643,8022
A0A060XGD5,E,125,PF01198,8022
A0A060XI11,E,679,PF00868,8022
A0A060XI43,E,489,PF08347,8022
A0A060XT97,E,312,PF01612,8022
A0A060XUV9,E,601,PF02852,8022
A0A060XYP2,E,317,LowComplexity,8022
A0A060Y4E7,E,691,PF01595,8022
A0A060YBS8,E,389,PF00084,8022
A0A060YDZ6,E,400,mobidb-lite,8022
A0A060YK20,E,370,PF00067,8022
A0A060YNC9,E,341,PF00629,8022
A0A060YXD5,E,183,PF00071,8022
A0A060ZAP5,E,281,PF00788,8022
A0A061AGX3,E,334,PF00766,36022
A0A061AL27,E,392,PF10294,5286
A0A061ASU1,E,478,PF09445,36022
A0A061AV91,E,310,PF00153,5286
A0A061AX94,E,107,PF03647,36022
A0A061B314,E,535,PF00135,36022
A0A061B643,E,1282,mobidb-lite,5286
A0A061B911,E,685,mobidb-lite,5286
A0A061BCS9,E,423,PF00557,5286
A0A061BD61,E,1552,mobidb-lite,5286
A0A061BDZ2,E,226,PF00186,5286
A0A061BH09,E,251,PF01184,5286
A0A061BHS4,E,716,mobidb-lite,5286
A0A061BIB9,E,967,mobidb-lite,5286
A0A061BM38,E,243,PF12937,5286
A0A061D4Q7,E,407,mobidb-lite,5866
A0A061D6D3,E,383,mobidb-lite,5866
A0A061DPX0,E,1598,mobidb-lite,3641
A0A061DXX3,E,1002,mobidb-lite,3641
A0A061E5I4,E,1167,PF01582,3641
A0A061EKX6,E,530,LowComplexity,3641
A0A061EQE5,E,1454,PF00005,3641
A0A061EXY6,E,171,PF00582,3641
A0A061EZ03,E,451,mobidb-lite,3641
A0A061F4K9,E,270,PF01193,3641
A0A061F9N3,E,642,CoiledCoil,3641
A0A061FET4,E,389,PF00107,3641
A0A061FHC4,E,1695,CoiledCoil,3641
A0A061FIC6,E,439,PF03140,3641
A0A061FKZ8,E,1759,PF00931,3641
A0A061FSD3,E,485,PF00433,3641
A0A061FV50,E,1082,PF01422,3641
A0A061FV74,E,200,PF02466,3641
A0A061G7M5,E,923,PF13855,3641
A0A061G8V6,E,355,PF00481,3641
A0A061G9B1,E,646,PF05199,3641
A0A061GBF6,E,811,mobidb-lite,3641
A0A061GEF8,E,1140,PF00560,3641
A0A061GIR3,E,683,mobidb-lite,3641
A0A061GJ69,E,194,PF04051,3641
A0A061GKL1,E,738,mobidb-lite,3641
A0A061GNB3,E,1522,mobidb-lite,3641
A0A061GQ14,E,528,PF14226,3641
A0A061GS33,E,479,PF13520,3641
A0A061GWZ3,E,342,mobidb-lite,3641
A0A061HTE0,E,483,PF00621,10029
A0A061HUL1,E,2623,PF00630,10029
A0A061HV17,E,4340,PF00632,10029
A0A061I014,E,471,PF02881,10029
A0A061I034,E,750,PF02149,10029
A0A061I2B2,E,900,PF01582,10029
A0A061IAE1,E,720,PF04727,10029
A0A061IB93,E,479,mobidb-lite,10029
A0A061IDS8,E,520,PF01753,10029
A0A061IHJ9,E,507,mobidb-lite,10029
A0A061IJQ1,E,665,PF00400,10029
A0A061IMB3,E,888,PF02891,10029
A0A061IP63,E,487,CoiledCoil,10029
A0A061QLK9,E,1415,mobidb-lite,6928
A0A061QUT3,E,708,mobidb-lite,582737
A0A061RFH3,E,710,PF00118,582737
A0A061RM56,E,207,mobidb-lite,582737
A0A061RVB2,E,247,PF00685,582737
A0A061RXB0,E,1173,PF07717,582737
A0A061S8M4,E,865,PF00465,582737
A0A061SB02,E,650,mobidb-lite,582737
A0A061SGE8,E,1539,PF04755,582737
A0A061SH24,E,294,mobidb-lite,582737
A0A061SN67,E,249,PF01813,582737
A0A063C3W4,E,616,PF01231,1159556
A0A063C8X1,E,228,PF00071,1159556
A0A063CBL9,E,3648,PF00888,1159556
A0A063CC32,E,531,PF06814,1159556
A0A066X4Z8,E,494,mobidb-lite,1173701
A0A066X7L3,E,408,PF01040,1173701
A0A066XBR1,E,576,PF03184,1173701
A0A066XFV6,E,1447,PF01061,1173701
A0A066XIL3,E,903,PF00106,1173701
A0A067DFS1,E,403,PF13041,2711
A0A067DI87,E,239,PF08100,2711
A0A067DIZ3,E,841,PF08774,2711
A0A067DJF1,E,831,PF08389,2711
A0A067DK06,E,641,PF01535,2711
A0A067DL66,E,624,PF01535,2711
A0A067DLT9,E,1513,PF00612,2711
A0A067E1Z2,E,87,PF05553,2711
A0A067E2Y2,E,152,PF13952,2711
A0A067EP44,E,434,PF00400,2711
A0A067F4U9,E,228,PF08263,2711
A0A067FAV5,E,661,PF04083,2711
A0A067FDU5,E,286,mobidb-lite,2711
A0A067FIJ9,E,864,PF03109,2711
A0A067FKU9,E,404,PF01490,2711
A0A067FQ94,E,420,mobidb-lite,2711
A0A067FYB6,E,500,PF09532,2711
A0A067G5X0,E,3574,mobidb-lite,2711
A0A067G6A9,E,212,PF00719,2711
A0A067G9W9,E,581,PF02005,2711
A0A067GF16,E,361,PF09139,2711
A0A067GFU1,E,170,PF03619,2711
A0A067GPH1,E,867,mobidb-lite,2711
A0A067H7Y6,E,643,mobidb-lite,2711
A0A067JBM6,E,562,mobidb-lite,180498
A0A067JQG5,E,154,PF00240,180498
A0A067JVA7,E,1143,PF00989,180498
A0A067K3M0,E,368,PF00612,180498
A0A067K602,E,412,mobidb-lite,180498
A0A067KKT6,E,707,PF01535,180498
A0A067KR17,E,1135,PF13855,180498
A0A067KUK4,E,701,mobidb-lite,180498
A0A067LB40,E,196,PF00847,180498
A0A067QN46,E,710,mobidb-lite,136037
A0A067QT63,E,703,mobidb-lite,136037
A0A067QV25,E,582,PF01344,136037
A0A067R2T3,E,303,PF02437,136037
A0A067R6R8,E,1154,mobidb-lite,136037
A0A067R7W8,E,1451,PF00595,136037
A0A067RBH5,E,254,PF15391,136037
A0A067RF88,E,840,mobidb-lite,136037
A0A067RFV2,E,443,mobidb-lite,136037
A0A067RMA2,E,708,PF16086,136037
A0A067RWI8,E,781,mobidb-lite,136037
A0A067XQH9,E,437,PF01824,1381984
A0A067YIW5,E,113,PF04563,407941
A0A067YZZ3,E,346,PF06444,1233216
A0A067Z7S9,E,47,PF13833,1454253
A0A068FBN5,E,651,PF00060,145453
A0A068TRC5,E,613,PF01535,49390
A0A068TUV7,E,507,CoiledCoil,49390
A0A068TVS9,E,177,PF04667,49390
A0A068TXJ1,E,330,PF00847,49390
A0A068U1C8,E,492,mobidb-lite,49390
A0A068U4G0,E,355,PF00076,49390
A0A068U6Z6,E,223,mobidb-lite,49390
A0A068UCW3,E,327,mobidb-lite,49390
A0A068UF69,E,1614,PF07765,49390
A0A068UQJ2,E,276,PF00933,49390
A0A068URS7,E,391,PF00076,49390
A0A068USH8,E,540,mobidb-lite,49390
A0A068UUZ0,E,358,mobidb-lite,49390
A0A068UZQ0,E,679,PF00005,49390
A0A068V3V9,E,879,mobidb-lite,49390
A0A068VJF7,E,508,PF00664,49390
A0A068VJK0,E,399,PF07714,49390
A0A068VK84,E,1184,PF00931,49390
A0A068WF44,E,1027,mobidb-lite,6210
A0A068WGF6,E,133,PF02290,6210
A0A068WNM9,E,566,PF03901,6210
A0A068WS33,E,688,PF13889,6210
A0A068WX54,E,856,mobidb-lite,6210
A0A068WY63,E,826,mobidb-lite,6210
A0A068X4F1,E,651,PF00571,6210
A0A068X732,E,2200,mobidb-lite,85433
A0A068X8F4,E,399,mobidb-lite,85433
A0A068XKF6,E,328,mobidb-lite,85433
A0A068XMJ4,E,1413,PF00028,85433
A0A068XS64,E,1190,PF04560,85433
A0A068Y1F4,E,522,PF00155,6211
A0A068Y4E0,E,277,mobidb-lite,6211
A0A068YCR0,E,1956,mobidb-lite,6211
A0A069DZ75,E,526,mobidb-lite,65343
A0A069DZS6,E,1323,PF00373,65343
A0A072TKG8,E,479,PF00016,3880
A0A072UTM8,E,110,PF02095,3880
A0A072V2Y3,E,781,PF00497,3880
A0A072VCB2,E,593,PF07899,3880
A0A072VCB7,E,654,mobidb-lite,3880
A0A072VD00,E,693,PF06507,3880
A0A072VEN8,E,678,PF07714,3880
A0A072VIQ7,E,594,PF16488,3880
A0A072VPD9,E,1048,PF01846,3880
A0A072VWM9,E,677,PF03357,3880
A0A074SVP7,E,803,mobidb-lite,99158
A0A074T061,E,6014,mobidb-lite,99158
A0A074T248,E,1028,mobidb-lite,99158
A0A074T902,E,1585,mobidb-lite,99158
A0A074TB92,E,506,mobidb-lite,99158
A0A074TDF8,E,885,PF00288,99158
A0A074TPT7,E,1012,PF04114,99158
A0A074YVQ2,E,77,PF00667,6198
A0A074Z537,E,343,PF03997,6198
A0A074ZF37,E,121,PF03259,6198
A0A074ZQU8,E,2907,mobidb-lite,6198
A0A074ZXP4,E,597,PF00169,6198
A0A075A0K6,E,442,mobidb-lite,6198
A0A075A1L1,E,4468,PF00090,6198
A0A075A1S6,E,1805,CoiledCoil,6198
A0A075A4A2,E,804,PF00004,6198
A0A075A631,E,1019,mobidb-lite,6198
A0A075A990,E,249,PF01546,6198
A0A075ADH6,E,1410,mobidb-lite,6198
A0A075AHD3,E,218,mobidb-lite,6198
A0A075B9P2,E,220,PF00115,396694
A0A075BDQ9,E,1075,PF04565,1235664
A0A075BEG6,E,163,PF01084,863009
A0A075BJX3,E,298,PF03143,648681
A0A075CXE2,E,165,PF00115,225159
A0A075D534,E,265,PF00510,50745
A0A075EDD2,E,231,PF00115,256688
A0A075IJB9,E,107,PF03547,3436
A0A075IPG5,E,275,PF01348,1458979
A0A075Q4K6,E,232,PF00243,573971
A0A075QX38,E,227,PF02790,32553
A0A075TS06,E,162,PF03089,148094
A0A075VYV9,E,137,PF02823,58530
A0A076G405,E,110,PF00125,798360
A0A076GY79,E,393,PF00421,1529384
A0A076JNL6,E,219,PF00115,1504081
A0A076JS03,E,435,PF00361,6551
A0A076KUX2,E,192,PF00022,299642
A0A076V9R4,E,219,PF00115,1536671
A0A077B3J7,E,179,PF01058,280849
A0A077B9V8,E,228,PF00115,256677
A0A077CZ66,E,826,PF04983,181602
A0A077CZ96,E,355,PF07654,75038
A0A077D2A4,E,355,PF00129,75038
A0A077D8A6,E,283,PF02787,1518653
A0A077DEQ6,E,230,PF02790,80971
A0A077GV73,E,480,PF00115,1540182
A0A077RVL4,E,503,LowComplexity,4565
A0A077RVU7,E,455,PF12796,4565
A0A077RVW1,E,257,PF00560,4565
A0A077RWP0,E,1160,mobidb-lite,4565
A0A077WA01,E,1183,PF16879,688394
A0A077WBU6,E,842,mobidb-lite,688394
A0A077WDA3,E,486,LowComplexity,688394
A0A077WL08,E,519,mobidb-lite,688394
A0A077WN17,E,461,PF00385,688394
A0A077WP29,E,1047,PF00806,688394
A0A077WP81,E,208,PF11712,688394
A0A077WR03,E,131,PF01655,688394
A0A077WSA0,E,716,PF17048,688394
A0A077WSZ1,E,477,PF00571,688394
A0A077WXG2,E,385,PF00491,688394
A0A077X249,E,730,PF16528,688394
A0A077X315,E,708,mobidb-lite,688394
A0A077Y0I8,E,141,PF01217,5861
A0A077Z4L8,E,1195,PF00035,36087
A0A077Z826,E,239,PF10584,36087
A0A077ZF67,E,561,PF06418,36087
A0A077ZNC0,E,1264,CoiledCoil,5949
A0A077ZP30,E,1277,PF16908,5949
A0A077ZYE0,E,755,PF00533,5949
A0A078A182,E,361,PF15801,5949
A0A078ADS5,E,1160,PF00072,5949
A0A078AU56,E,5016,mobidb-lite,5949
A0A078B167,E,4379,mobidb-lite,5949
A0A078B8V2,E,404,PF07500,5949
A0A078B8Z5,E,616,mobidb-lite,5949
A0A078B9L3,E,1644,mobidb-lite,5949
A0A078C1V2,E,285,mobidb-lite,3708
A0A078C694,E,257,PF03087,3708
A0A078CA80,E,743,PF00004,3708
A0A078CF80,E,540,PF00560,3708
A0A078CIM2,E,423,PF09733,3708
A0A078CU36,E,628,PF00225,3708
A0A078D5D2,E,537,PF01397,3708
A0A078DV18,E,312,PF00141,3708
A0A078DWT4,E,296,mobidb-lite,3708
A0A078DYU8,E,686,PF14432,3708
A0A078DZV1,E,305,PF03145,3708
A0A078E2G4,E,1180,PF00271,3708
A0A078E3Q3,E,397,PF02493,3708
A0A078E3X0,E,263,PF09425,3708
A0A078E4X2,E,1204,PF01582,3708
A0A078E5A8,E,111,PF05498,3708
A0A078ECC4,E,628,PF13855,3708
A0A078EQ35,E,499,PF03727,3708
A0A078ERF8,E,446,mobidb-lite,3708
A0A078ERI9,E,328,PF00249,3708
A0A078ES12,E,427,PF02493,3708
A0A078ESM5,E,372,PF03171,3708
A0A078EV27,E,179,PF00012,3708
A0A078EVZ0,E,223,mobidb-lite,3708
A0A078EWM2,E,1116,PF12436,3708
A0A078F1D5,E,533,PF16186,3708
A0A078F2V6,E,270,PF00847,3708
A0A078F5I4,E,833,PF00082,3708
A0A078F710,E,565,PF00733,3708
A0A078F7L1,E,272,PF01873,3708
A0A078F8P3,E,379,PF02852,3708
A0A078F9L0,E,276,mobidb-lite,3708
A0A078FKD2,E,886,mobidb-lite,3708
A0A078FSW2,E,782,mobidb-lite,3708
A0A078FX66,E,295,PF00646,3708
A0A078G505,E,111,PF14547,3708
A0A078GBN3,E,1157,PF00063,3708
A0A078GQ45,E,212,PF13639,3708
A0A078GQV7,E,861,mobidb-lite,3708
A0A078H4S0,E,701,PF04433,3708
A0A078H522,E,2052,mobidb-lite,3708
A0A078HBD0,E,389,PF01167,3708
A0A078HW80,E,290,mobidb-lite,3708
A0A078I0A4,E,244,PF01652,3708
A0A078I8W3,E,232,PF03868,3708
A0A078IGX8,E,118,PF06747,3708
A0A078IH39,E,240,PF01486,3708
A0A078IIC9,E,396,mobidb-lite,3708
A0A078IY75,E,1269,PF00225,3708
A0A078IYX0,E,414,mobidb-lite,3708
A0A078J6K9,E,320,PF03171,3708
A0A078J705,E,568,PF01697,3708
A0A078JDE7,E,266,PF06012,3708
A0A078JF71,E,688,PF03144,3708
A0A078JHF3,E,372,mobidb-lite,3708
A0A078JNN1,E,718,PF00501,3708
A0A078JNR9,E,215,PF00810,3708
A0A078K0X3,E,202,PF04749,3708
A0A078K340,E,317,PF06022,5861
A0A078K949,E,398,PF01145,5861
A0A078KA44,E,1584,PF00176,5861
A0A078KDZ1,E,813,PF01704,5861
A0A081CE01,E,495,PF00929,84753
A0A081CIF8,E,685,mobidb-lite,84753
A0A081CK44,E,3696,mobidb-lite,84753
A0A084FU97,E,655,mobidb-lite,563466
A0A084FVH8,E,1016,PF05193,563466
A0A084FXW9,E,333,PF02824,563466
A0A084G1I8,E,611,mobidb-lite,563466
A0A084G1L4,E,1209,mobidb-lite,563466
A0A084G380,E,905,mobidb-lite,563466
A0A084G3N7,E,585,PF04082,563466
A0A084G8B2,E,547,CoiledCoil,563466
A0A084VDL8,E,783,mobidb-lite,74873
A0A084VIG4,E,2763,mobidb-lite,74873
A0A084VP83,E,191,PF06910,74873
A0A084VSW4,E,372,CoiledCoil,74873
A0A084VTM4,E,1056,mobidb-lite,74873
A0A084VZ78,E,849,PF13949,74873
A0A084VZ86,E,3750,PF00431,74873
A0A084W849,E,1115,PF13855,74873
A0A084WAT0,E,377,PF00053,74873
A0A084WID4,E,4753,PF00057,74873
A0A084WJE9,E,854,PF02210,74873
A0A084WJK7,E,702,mobidb-lite,74873
A0A084WNA4,E,499,PF00067,74873
A0A084WQN2,E,1469,CoiledCoil,74873
A0A085LY71,E,1677,PF00014,68888
A0A085M5N6,E,282,PF00076,68888
A0A085MDD9,E,1046,mobidb-lite,68888
A0A085MGA6,E,904,PF02759,68888
A0A085MSE9,E,396,PF03184,68888
A0A085MXM4,E,722,mobidb-lite,68888
A0A085N9H1,E,298,PF01359,68888
A0A085NBY8,E,140,PF01359,68888
A0A085NJK6,E,2478,PF00621,68888
A0A085NLL0,E,1437,PF00102,68888
A0A085NMJ6,E,1596,PF07690,68888
A0A085NTC3,E,2136,mobidb-lite,68888
A0A087G1J8,E,351,PF02458,50452
A0A087GGV3,E,598,mobidb-lite,50452
A0A087GK52,E,488,PF05577,50452
A0A087GM10,E,251,PF00153,50452
A0A087GP42,E,444,LowComplexity,50452
A0A087GP74,E,452,PF02136,50452
A0A087GXF4,E,524,mobidb-lite,50452
A0A087GZA7,E,213,PF03931,50452
A0A087H144,E,893,mobidb-lite,50452
A0A087H491,E,479,PF01535,50452
A0A087H5K8,E,539,PF00520,50452
A0A087H8B5,E,782,PF00069,50452
A0A087HB06,E,350,mobidb-lite,50452
A0A087HFS1,E,346,PF00400,50452
A0A087HHV3,E,349,PF00153,50452
A0A087HI51,E,380,PF00917,50452
A0A087QJH3,E,74,PF01158,9233
A0A087QLT2,E,995,PF02037,9233
A0A087QMD8,E,827,PF00443,9233
A0A087QSB9,E,1960,PF07648,9233
A0A087QWD1,E,1577,mobidb-lite,9233
A0A087QWK0,E,1021,PF01302,9233
A0A087QXE3,E,461,mobidb-lite,9233
A0A087RAY7,E,107,PF00017,9233
A0A087RJZ9,E,346,PF00105,9233
A0A087RK67,E,216,PF00210,9233
A0A087SB07,E,462,mobidb-lite,3075
A0A087SLZ3,E,886,PF07741,3075
A0A087T7E7,E,589,PF00133,407821
A0A087TTF6,E,46,PF08205,407821
A0A087TXD7,E,106,PF03045,407821
A0A087U3B9,E,1947,mobidb-lite,407821
A0A087U4C8,E,194,mobidb-lite,407821
A0A087U599,E,484,PF08620,407821
A0A087USH5,E,229,PF00994,407821
A0A087V0G2,E,240,PF13401,407821
A0A087VZS9,E,889,mobidb-lite,6211
A0A087W1J1,E,290,PF14748,6211
A0A087X097,E,3354,PF00028,9606
A0A087X3F5,E,422,PF00069,48698
A0A087X5A1,E,632,PF01344,48698
A0A087X6G0,E,1207,mobidb-lite,48698
A0A087X7Y5,E,27691,CoiledCoil,48698
A0A087X9G5,E,1361,mobidb-lite,48698
A0A087X9X5,E,1833,PF00054,48698
A0A087XA10,E,645,mobidb-lite,48698
A0A087XAA5,E,1104,PF00324,48698
A0A087XB66,E,1399,PF00169,48698
A0A087XGN6,E,758,mobidb-lite,48698
A0A087XIF8,E,2099,mobidb-lite,48698
A0A087XKW1,E,666,mobidb-lite,48698
A0A087XLE0,E,1306,PF09744,48698
A0A087XNR1,E,6211,PF03160,48698
A0A087XQR0,E,425,PF12265,48698
A0A087XSL8,E,883,mobidb-lite,48698
A0A087XTD6,E,435,PF00651,48698
A0A087XV61,E,469,PF01457,48698
A0A087XXA1,E,608,mobidb-lite,48698
A0A087XZ85,E,1090,PF13516,48698
A0A087Y373,E,661,PF14749,48698
A0A087Y5U5,E,458,mobidb-lite,48698
A0A087Y6X7,E,4497,mobidb-lite,48698
A0A087YAY3,E,333,PF00178,48698
A0A087YBW1,E,225,mobidb-lite,48698
A0A087YE24,E,1559,PF00595,48698
A0A087YGR0,E,2611,mobidb-lite,48698
A0A087YJ29,E,506,PF02148,48698
A0A087YJI8,E,741,mobidb-lite,48698
A0A087ZQX8,E,1713,mobidb-lite,7460
A0A088A0P5,E,267,PF00106,7460
A0A088A3T0,E,752,PF06881,7460
A0A088A8J7,E,2460,PF00069,7460
A0A088A971,E,992,PF00531,7460
A0A088AB70,E,1565,mobidb-lite,7460
A0A088AEU8,E,1325,PF00596,7460
A0A088AIB0,E,1725,CoiledCoil,7460
A0A088AQ74,E,1170,mobidb-lite,7460
A0A088B0N0,E,520,PF01348,1290242
A0A088F643,E,313,PF00115,232242
A0A088FAZ3,E,320,PF02786,1202013
A0A088FFI8,E,224,PF02807,257669
A0A088FH80,E,152,PF00001,1539554
A0A088FPB3,E,459,PF00361,28733
A0A088FRB8,E,143,PF00623,263974
A0A088S181,E,576,PF00076,5679
A0A088S3D9,E,186,mobidb-lite,5679
A0A088S3Z8,E,1694,mobidb-lite,5679
A0A088S4L4,E,2551,mobidb-lite,5679
